bfly11_tmp(1)=1738+j1602, temp_bfly11(1)=444928+j410112, bfly11(1)=1738+j1602
bfly11_tmp(25)=-172+j-180, temp_bfly11(25)=-46080+j44032, bfly11(25)=-180+j172
bfly11_tmp(26)=216+j38, temp_bfly11(26)=9728+j-55296, bfly11(26)=38+j-216
bfly11_tmp(27)=156+j-30, temp_bfly11(27)=-7680+j-39936, bfly11(27)=-30+j-156
bfly11_tmp(28)=-290+j-114, temp_bfly11(28)=-29184+j74240, bfly11(28)=-114+j290
bfly11_tmp(29)=30+j10, temp_bfly11(29)=2560+j-7680, bfly11(29)=10+j-30
bfly11_tmp(30)=-386+j-52, temp_bfly11(30)=-13312+j98816, bfly11(30)=-52+j386
bfly11_tmp(31)=254+j-132, temp_bfly11(31)=-33792+j-65024, bfly11(31)=-132+j-254
bfly11_tmp(32)=20+j74, temp_bfly11(32)=18944+j-5120, bfly11(32)=74+j-20
bfly11_tmp(33)=36+j-108, temp_bfly11(33)=9216+j-27648, bfly11(33)=36+j-108
bfly11_tmp(34)=-236+j102, temp_bfly11(34)=-60416+j26112, bfly11(34)=-236+j102
bfly11_tmp(35)=-100+j38, temp_bfly11(35)=-25600+j9728, bfly11(35)=-100+j38
bfly11_tmp(36)=118+j-126, temp_bfly11(36)=30208+j-32256, bfly11(36)=118+j-126
bfly11_tmp(37)=-220+j-16, temp_bfly11(37)=-56320+j-4096, bfly11(37)=-220+j-16
bfly11_tmp(38)=-124+j92, temp_bfly11(38)=-31744+j23552, bfly11(38)=-124+j92
bfly11_tmp(39)=4+j-80, temp_bfly11(39)=1024+j-20480, bfly11(39)=4+j-80
bfly11_tmp(40)=92+j-274, temp_bfly11(40)=23552+j-70144, bfly11(40)=92+j-274
bfly11_tmp(41)=208+j100, temp_bfly11(41)=55748+j-19548, bfly11(41)=218+j-76
bfly11_tmp(42)=120+j114, temp_bfly11(42)=42354+j-1086, bfly11(42)=165+j-4
bfly11_tmp(43)=230+j-48, temp_bfly11(43)=32942+j-50318, bfly11(43)=129+j-197
bfly11_tmp(44)=224+j8, temp_bfly11(44)=41992+j-39096, bfly11(44)=164+j-153
bfly11_tmp(45)=-40+j324, temp_bfly11(45)=51404+j65884, bfly11(45)=201+j257
bfly11_tmp(46)=112+j346, temp_bfly11(46)=82898+j42354, bfly11(46)=324+j165
bfly11_tmp(47)=-76+j98, temp_bfly11(47)=3982+j31494, bfly11(47)=16+j123
bfly11_tmp(48)=96+j154, temp_bfly11(48)=45250+j10498, bfly11(48)=177+j41
bfly11_tmp(49)=-40+j-116, temp_bfly11(49)=-10240+j-29696, bfly11(49)=-40+j-116
bfly11_tmp(50)=-124+j6, temp_bfly11(50)=-31744+j1536, bfly11(50)=-124+j6
bfly11_tmp(51)=28+j114, temp_bfly11(51)=7168+j29184, bfly11(51)=28+j114
bfly11_tmp(52)=62+j26, temp_bfly11(52)=15872+j6656, bfly11(52)=62+j26
bfly11_tmp(53)=68+j128, temp_bfly11(53)=17408+j32768, bfly11(53)=68+j128
bfly11_tmp(54)=192+j8, temp_bfly11(54)=49152+j2048, bfly11(54)=192+j8
bfly11_tmp(55)=-180+j72, temp_bfly11(55)=-46080+j18432, bfly11(55)=-180+j72
bfly11_tmp(56)=164+j178, temp_bfly11(56)=41984+j45568, bfly11(56)=164+j178
bfly11_tmp(57)=108+j-104, temp_bfly11(57)=-38372+j-724, bfly11(57)=-150+j-3
bfly11_tmp(58)=176+j-86, temp_bfly11(58)=-47422+j-16290, bfly11(58)=-185+j-64
bfly11_tmp(59)=-66+j188, temp_bfly11(59)=45974+j-22082, bfly11(59)=180+j-86
bfly11_tmp(60)=112+j148, temp_bfly11(60)=6516+j-47060, bfly11(60)=25+j-184
bfly11_tmp(61)=-192+j-232, temp_bfly11(61)=-7240+j76744, bfly11(61)=-28+j300
bfly11_tmp(62)=180+j250, temp_bfly11(62)=12670+j-77830, bfly11(62)=49+j-304
bfly11_tmp(63)=-148+j-42, temp_bfly11(63)=19186+j34390, bfly11(63)=75+j134
bfly11_tmp(64)=-4+j-242, temp_bfly11(64)=-43078+j44526, bfly11(64)=-168+j174
bfly11_tmp(65)=358+j-206, temp_bfly11(65)=91648+j-52736, bfly11(65)=358+j-206
bfly11_tmp(66)=-163+j516, temp_bfly11(66)=-41728+j132096, bfly11(66)=-163+j516
bfly11_tmp(67)=-889+j-998, temp_bfly11(67)=-227584+j-255488, bfly11(67)=-889+j-998
bfly11_tmp(68)=213+j-636, temp_bfly11(68)=54528+j-162816, bfly11(68)=213+j-636
bfly11_tmp(69)=335+j-495, temp_bfly11(69)=85760+j-126720, bfly11(69)=335+j-495
bfly11_tmp(70)=320+j27, temp_bfly11(70)=81920+j6912, bfly11(70)=320+j27
bfly11_tmp(71)=-329+j770, temp_bfly11(71)=-84224+j197120, bfly11(71)=-329+j770
bfly11_tmp(72)=124+j-68, temp_bfly11(72)=31744+j-17408, bfly11(72)=124+j-68
bfly11_tmp(73)=-94+j183, temp_bfly11(73)=-24064+j46848, bfly11(73)=-94+j183
bfly11_tmp(74)=-500+j-92, temp_bfly11(74)=-128000+j-23552, bfly11(74)=-500+j-92
bfly11_tmp(75)=71+j-806, temp_bfly11(75)=18176+j-206336, bfly11(75)=71+j-806
bfly11_tmp(76)=-415+j-543, temp_bfly11(76)=-106240+j-139008, bfly11(76)=-415+j-543
bfly11_tmp(77)=32+j169, temp_bfly11(77)=8192+j43264, bfly11(77)=32+j169
bfly11_tmp(78)=-459+j-87, temp_bfly11(78)=-117504+j-22272, bfly11(78)=-459+j-87
bfly11_tmp(79)=592+j-255, temp_bfly11(79)=151552+j-65280, bfly11(79)=592+j-255
bfly11_tmp(80)=-504+j1311, temp_bfly11(80)=-129024+j335616, bfly11(80)=-504+j1311
bfly11_tmp(81)=394+j-466, temp_bfly11(81)=100864+j-119296, bfly11(81)=394+j-466
bfly11_tmp(82)=-1217+j1182, temp_bfly11(82)=-311552+j302592, bfly11(82)=-1217+j1182
bfly11_tmp(83)=1483+j550, temp_bfly11(83)=379648+j140800, bfly11(83)=1483+j550
bfly11_tmp(84)=929+j1226, temp_bfly11(84)=237824+j313856, bfly11(84)=929+j1226
bfly11_tmp(85)=559+j-765, temp_bfly11(85)=143104+j-195840, bfly11(85)=559+j-765
bfly11_tmp(86)=692+j475, temp_bfly11(86)=177152+j121600, bfly11(86)=692+j475
bfly11_tmp(87)=-809+j588, temp_bfly11(87)=-207104+j150528, bfly11(87)=-809+j588
bfly11_tmp(88)=-348+j-416, temp_bfly11(88)=-89088+j-106496, bfly11(88)=-348+j-416
bfly11_tmp(89)=388+j-13, temp_bfly11(89)=-3328+j-99328, bfly11(89)=-13+j-388
bfly11_tmp(90)=-562+j-10, temp_bfly11(90)=-2560+j143872, bfly11(90)=-10+j562
bfly11_tmp(91)=-645+j1126, temp_bfly11(91)=288256+j165120, bfly11(91)=1126+j645
bfly11_tmp(92)=-409+j-425, temp_bfly11(92)=-108800+j104704, bfly11(92)=-425+j409
bfly11_tmp(93)=126+j125, temp_bfly11(93)=32000+j-32256, bfly11(93)=125+j-126
bfly11_tmp(94)=545+j259, temp_bfly11(94)=66304+j-139520, bfly11(94)=259+j-545
bfly11_tmp(95)=-38+j-1441, temp_bfly11(95)=-368896+j9728, bfly11(95)=-1441+j38
bfly11_tmp(96)=-436+j-463, temp_bfly11(96)=-118528+j111616, bfly11(96)=-463+j436
bfly11_tmp(97)=-578+j-372, temp_bfly11(97)=-147968+j-95232, bfly11(97)=-578+j-372
bfly11_tmp(98)=-549+j-698, temp_bfly11(98)=-140544+j-178688, bfly11(98)=-549+j-698
bfly11_tmp(99)=-1683+j-816, temp_bfly11(99)=-430848+j-208896, bfly11(99)=-1683+j-816
bfly11_tmp(100)=-840+j203, temp_bfly11(100)=-215040+j51968, bfly11(100)=-840+j203
bfly11_tmp(101)=866+j-962, temp_bfly11(101)=221696+j-246272, bfly11(101)=866+j-962
bfly11_tmp(102)=26+j-269, temp_bfly11(102)=6656+j-68864, bfly11(102)=26+j-269
bfly11_tmp(103)=-552+j1113, temp_bfly11(103)=-141312+j284928, bfly11(103)=-552+j1113
bfly11_tmp(104)=346+j-1408, temp_bfly11(104)=88576+j-360448, bfly11(104)=346+j-1408
bfly11_tmp(105)=201+j1184, temp_bfly11(105)=250685+j177923, bfly11(105)=979+j695
bfly11_tmp(106)=780+j258, temp_bfly11(106)=187878+j-94482, bfly11(106)=734+j-369
bfly11_tmp(107)=429+j-92, temp_bfly11(107)=60997+j-94301, bfly11(107)=238+j-368
bfly11_tmp(108)=877+j125, temp_bfly11(108)=181362+j-136112, bfly11(108)=708+j-532
bfly11_tmp(109)=157+j-364, temp_bfly11(109)=-37467+j-94301, bfly11(109)=-146+j-368
bfly11_tmp(110)=546+j382, temp_bfly11(110)=167968+j-29684, bfly11(110)=656+j-116
bfly11_tmp(111)=80+j-733, temp_bfly11(111)=-118193+j-147153, bfly11(111)=-462+j-575
bfly11_tmp(112)=201+j510, temp_bfly11(112)=128691+j55929, bfly11(112)=503+j218
bfly11_tmp(113)=274+j756, temp_bfly11(113)=70144+j193536, bfly11(113)=274+j756
bfly11_tmp(114)=745+j-240, temp_bfly11(114)=190720+j-61440, bfly11(114)=745+j-240
bfly11_tmp(115)=-207+j-724, temp_bfly11(115)=-52992+j-185344, bfly11(115)=-207+j-724
bfly11_tmp(116)=-1158+j663, temp_bfly11(116)=-296448+j169728, bfly11(116)=-1158+j663
bfly11_tmp(117)=-112+j1302, temp_bfly11(117)=-28672+j333312, bfly11(117)=-112+j1302
bfly11_tmp(118)=718+j1007, temp_bfly11(118)=183808+j257792, bfly11(118)=718+j1007
bfly11_tmp(119)=-22+j-91, temp_bfly11(119)=-5632+j-23296, bfly11(119)=-22+j-91
bfly11_tmp(120)=286+j552, temp_bfly11(120)=73216+j141312, bfly11(120)=286+j552
bfly11_tmp(121)=-183+j486, temp_bfly11(121)=121089+j-54843, bfly11(121)=473+j-214
bfly11_tmp(122)=310+j432, temp_bfly11(122)=22082+j-134302, bfly11(122)=86+j-525
bfly11_tmp(123)=409+j136, temp_bfly11(123)=-49413+j-98645, bfly11(123)=-193+j-385
bfly11_tmp(124)=351+j-601, temp_bfly11(124)=-172312+j45250, bfly11(124)=-673+j177
bfly11_tmp(125)=-451+j-762, temp_bfly11(125)=-56291+j219553, bfly11(125)=-220+j858
bfly11_tmp(126)=-892+j-206, temp_bfly11(126)=124166+j198738, bfly11(126)=485+j776
bfly11_tmp(127)=-154+j1249, temp_bfly11(127)=253943+j-198195, bfly11(127)=992+j-774
bfly11_tmp(128)=-489+j-854, temp_bfly11(128)=-66065+j243083, bfly11(128)=-258+j950
bfly11_tmp(129)=-278+j-931, temp_bfly11(129)=-71168+j-238336, bfly11(129)=-278+j-931
bfly11_tmp(130)=-38+j-873, temp_bfly11(130)=-9728+j-223488, bfly11(130)=-38+j-873
bfly11_tmp(131)=-340+j-433, temp_bfly11(131)=-87040+j-110848, bfly11(131)=-340+j-433
bfly11_tmp(132)=-102+j142, temp_bfly11(132)=-26112+j36352, bfly11(132)=-102+j142
bfly11_tmp(133)=90+j-236, temp_bfly11(133)=23040+j-60416, bfly11(133)=90+j-236
bfly11_tmp(134)=157+j147, temp_bfly11(134)=40192+j37632, bfly11(134)=157+j147
bfly11_tmp(135)=749+j380, temp_bfly11(135)=191744+j97280, bfly11(135)=749+j380
bfly11_tmp(136)=-262+j977, temp_bfly11(136)=-67072+j250112, bfly11(136)=-262+j977
bfly11_tmp(137)=-39+j426, temp_bfly11(137)=-9984+j109056, bfly11(137)=-39+j426
bfly11_tmp(138)=-1072+j-16, temp_bfly11(138)=-274432+j-4096, bfly11(138)=-1072+j-16
bfly11_tmp(139)=225+j-1386, temp_bfly11(139)=57600+j-354816, bfly11(139)=225+j-1386
bfly11_tmp(140)=295+j-867, temp_bfly11(140)=75520+j-221952, bfly11(140)=295+j-867
bfly11_tmp(141)=-238+j755, temp_bfly11(141)=-60928+j193280, bfly11(141)=-238+j755
bfly11_tmp(142)=29+j-123, temp_bfly11(142)=7424+j-31488, bfly11(142)=29+j-123
bfly11_tmp(143)=965+j-741, temp_bfly11(143)=247040+j-189696, bfly11(143)=965+j-741
bfly11_tmp(144)=1079+j-189, temp_bfly11(144)=276224+j-48384, bfly11(144)=1079+j-189
bfly11_tmp(145)=886+j-385, temp_bfly11(145)=226816+j-98560, bfly11(145)=886+j-385
bfly11_tmp(146)=-272+j-739, temp_bfly11(146)=-69632+j-189184, bfly11(146)=-272+j-739
bfly11_tmp(147)=-54+j-433, temp_bfly11(147)=-13824+j-110848, bfly11(147)=-54+j-433
bfly11_tmp(148)=-434+j236, temp_bfly11(148)=-111104+j60416, bfly11(148)=-434+j236
bfly11_tmp(149)=-64+j-482, temp_bfly11(149)=-16384+j-123392, bfly11(149)=-64+j-482
bfly11_tmp(150)=-577+j-631, temp_bfly11(150)=-147712+j-161536, bfly11(150)=-577+j-631
bfly11_tmp(151)=623+j648, temp_bfly11(151)=159488+j165888, bfly11(151)=623+j648
bfly11_tmp(152)=-594+j7, temp_bfly11(152)=-152064+j1792, bfly11(152)=-594+j7
bfly11_tmp(153)=-627+j-912, temp_bfly11(153)=-233472+j160512, bfly11(153)=-912+j627
bfly11_tmp(154)=-1256+j-20, temp_bfly11(154)=-5120+j321536, bfly11(154)=-20+j1256
bfly11_tmp(155)=-261+j-224, temp_bfly11(155)=-57344+j66816, bfly11(155)=-224+j261
bfly11_tmp(156)=469+j277, temp_bfly11(156)=70912+j-120064, bfly11(156)=277+j-469
bfly11_tmp(157)=-244+j-469, temp_bfly11(157)=-120064+j62464, bfly11(157)=-469+j244
bfly11_tmp(158)=-445+j-153, temp_bfly11(158)=-39168+j113920, bfly11(158)=-153+j445
bfly11_tmp(159)=-187+j-97, temp_bfly11(159)=-24832+j47872, bfly11(159)=-97+j187
bfly11_tmp(160)=-1099+j-867, temp_bfly11(160)=-221952+j281344, bfly11(160)=-867+j1099
bfly11_tmp(161)=-941+j668, temp_bfly11(161)=-240896+j171008, bfly11(161)=-941+j668
bfly11_tmp(162)=860+j949, temp_bfly11(162)=220160+j242944, bfly11(162)=860+j949
bfly11_tmp(163)=-175+j-242, temp_bfly11(163)=-44800+j-61952, bfly11(163)=-175+j-242
bfly11_tmp(164)=495+j-577, temp_bfly11(164)=126720+j-147712, bfly11(164)=495+j-577
bfly11_tmp(165)=-362+j-746, temp_bfly11(165)=-92672+j-190976, bfly11(165)=-362+j-746
bfly11_tmp(166)=-23+j117, temp_bfly11(166)=-5888+j29952, bfly11(166)=-23+j117
bfly11_tmp(167)=-818+j-661, temp_bfly11(167)=-209408+j-169216, bfly11(167)=-818+j-661
bfly11_tmp(168)=-489+j-446, temp_bfly11(168)=-125184+j-114176, bfly11(168)=-489+j-446
bfly11_tmp(169)=82+j413, temp_bfly11(169)=89595+j59911, bfly11(169)=350+j234
bfly11_tmp(170)=-178+j-616, temp_bfly11(170)=-143714+j-79278, bfly11(170)=-561+j-310
bfly11_tmp(171)=637+j-1168, temp_bfly11(171)=-96111+j-326705, bfly11(171)=-375+j-1276
bfly11_tmp(172)=560+j-852, temp_bfly11(172)=-52852+j-255572, bfly11(172)=-206+j-998
bfly11_tmp(173)=953+j-286, temp_bfly11(173)=120727+j-224259, bfly11(173)=472+j-876
bfly11_tmp(174)=149+j-389, temp_bfly11(174)=-43440+j-97378, bfly11(174)=-170+j-380
bfly11_tmp(175)=375+j571, temp_bfly11(175)=171226+j35476, bfly11(175)=669+j139
bfly11_tmp(176)=303+j55, temp_bfly11(176)=64798+j-44888, bfly11(176)=253+j-175
bfly11_tmp(177)=-179+j-24, temp_bfly11(177)=-45824+j-6144, bfly11(177)=-179+j-24
bfly11_tmp(178)=-542+j-333, temp_bfly11(178)=-138752+j-85248, bfly11(178)=-542+j-333
bfly11_tmp(179)=865+j-768, temp_bfly11(179)=221440+j-196608, bfly11(179)=865+j-768
bfly11_tmp(180)=737+j-397, temp_bfly11(180)=188672+j-101632, bfly11(180)=737+j-397
bfly11_tmp(181)=4+j-204, temp_bfly11(181)=1024+j-52224, bfly11(181)=4+j-204
bfly11_tmp(182)=-541+j263, temp_bfly11(182)=-138496+j67328, bfly11(182)=-541+j263
bfly11_tmp(183)=-150+j-39, temp_bfly11(183)=-38400+j-9984, bfly11(183)=-150+j-39
bfly11_tmp(184)=-243+j-134, temp_bfly11(184)=-62208+j-34304, bfly11(184)=-243+j-134
bfly11_tmp(185)=-212+j1341, temp_bfly11(185)=281093+j-204349, bfly11(185)=1098+j-798
bfly11_tmp(186)=-318+j-228, temp_bfly11(186)=16290+j98826, bfly11(186)=64+j386
bfly11_tmp(187)=583+j274, temp_bfly11(187)=-55929+j-155117, bfly11(187)=-218+j-606
bfly11_tmp(188)=-140+j-742, temp_bfly11(188)=-108962+j159642, bfly11(188)=-426+j624
bfly11_tmp(189)=1249+j840, temp_bfly11(189)=-74029+j-378109, bfly11(189)=-289+j-1477
bfly11_tmp(190)=-593+j101, temp_bfly11(190)=125614+j89052, bfly11(190)=491+j348
bfly11_tmp(191)=719+j555, temp_bfly11(191)=-29684+j-230594, bfly11(191)=-116+j-901
bfly11_tmp(192)=-931+j-51, temp_bfly11(192)=159280+j177742, bfly11(192)=622+j694
bfly11_tmp(193)=156+j294, temp_bfly11(193)=39936+j75264, bfly11(193)=156+j294
bfly11_tmp(194)=-348+j-71, temp_bfly11(194)=-89088+j-18176, bfly11(194)=-348+j-71
bfly11_tmp(195)=802+j-488, temp_bfly11(195)=205312+j-124928, bfly11(195)=802+j-488
bfly11_tmp(196)=811+j-543, temp_bfly11(196)=207616+j-139008, bfly11(196)=811+j-543
bfly11_tmp(197)=-521+j909, temp_bfly11(197)=-133376+j232704, bfly11(197)=-521+j909
bfly11_tmp(198)=-1210+j1285, temp_bfly11(198)=-309760+j328960, bfly11(198)=-1210+j1285
bfly11_tmp(199)=-150+j-431, temp_bfly11(199)=-38400+j-110336, bfly11(199)=-150+j-431
bfly11_tmp(200)=196+j-206, temp_bfly11(200)=50176+j-52736, bfly11(200)=196+j-206
bfly11_tmp(201)=515+j676, temp_bfly11(201)=131840+j173056, bfly11(201)=515+j676
bfly11_tmp(202)=623+j-1186, temp_bfly11(202)=159488+j-303616, bfly11(202)=623+j-1186
bfly11_tmp(203)=510+j164, temp_bfly11(203)=130560+j41984, bfly11(203)=510+j164
bfly11_tmp(204)=974+j-694, temp_bfly11(204)=249344+j-177664, bfly11(204)=974+j-694
bfly11_tmp(205)=-476+j-77, temp_bfly11(205)=-121856+j-19712, bfly11(205)=-476+j-77
bfly11_tmp(206)=-426+j1021, temp_bfly11(206)=-109056+j261376, bfly11(206)=-426+j1021
bfly11_tmp(207)=479+j-522, temp_bfly11(207)=122624+j-133632, bfly11(207)=479+j-522
bfly11_tmp(208)=262+j-14, temp_bfly11(208)=67072+j-3584, bfly11(208)=262+j-14
bfly11_tmp(209)=56+j-54, temp_bfly11(209)=14336+j-13824, bfly11(209)=56+j-54
bfly11_tmp(210)=100+j837, temp_bfly11(210)=25600+j214272, bfly11(210)=100+j837
bfly11_tmp(211)=178+j94, temp_bfly11(211)=45568+j24064, bfly11(211)=178+j94
bfly11_tmp(212)=725+j443, temp_bfly11(212)=185600+j113408, bfly11(212)=725+j443
bfly11_tmp(213)=-1001+j-3, temp_bfly11(213)=-256256+j-768, bfly11(213)=-1001+j-3
bfly11_tmp(214)=-414+j-831, temp_bfly11(214)=-105984+j-212736, bfly11(214)=-414+j-831
bfly11_tmp(215)=326+j325, temp_bfly11(215)=83456+j83200, bfly11(215)=326+j325
bfly11_tmp(216)=-148+j-412, temp_bfly11(216)=-37888+j-105472, bfly11(216)=-148+j-412
bfly11_tmp(217)=115+j320, temp_bfly11(217)=81920+j-29440, bfly11(217)=320+j-115
bfly11_tmp(218)=-935+j210, temp_bfly11(218)=53760+j239360, bfly11(218)=210+j935
bfly11_tmp(219)=392+j-56, temp_bfly11(219)=-14336+j-100352, bfly11(219)=-56+j-392
bfly11_tmp(220)=-578+j-432, temp_bfly11(220)=-110592+j147968, bfly11(220)=-432+j578
bfly11_tmp(221)=-230+j655, temp_bfly11(221)=167680+j58880, bfly11(221)=655+j230
bfly11_tmp(222)=-446+j725, temp_bfly11(222)=185600+j114176, bfly11(222)=725+j446
bfly11_tmp(223)=-97+j44, temp_bfly11(223)=11264+j24832, bfly11(223)=44+j97
bfly11_tmp(224)=54+j766, temp_bfly11(224)=196096+j-13824, bfly11(224)=766+j-54
bfly11_tmp(225)=228+j374, temp_bfly11(225)=58368+j95744, bfly11(225)=228+j374
bfly11_tmp(226)=-26+j-61, temp_bfly11(226)=-6656+j-15616, bfly11(226)=-26+j-61
bfly11_tmp(227)=489+j385, temp_bfly11(227)=125184+j98560, bfly11(227)=489+j385
bfly11_tmp(228)=1127+j91, temp_bfly11(228)=288512+j23296, bfly11(228)=1127+j91
bfly11_tmp(229)=179+j763, temp_bfly11(229)=45824+j195328, bfly11(229)=179+j763
bfly11_tmp(230)=130+j673, temp_bfly11(230)=33280+j172288, bfly11(230)=130+j673
bfly11_tmp(231)=120+j-847, temp_bfly11(231)=30720+j-216832, bfly11(231)=120+j-847
bfly11_tmp(232)=-535+j-1571, temp_bfly11(232)=-136960+j-402176, bfly11(232)=-535+j-1571
bfly11_tmp(233)=853+j476, temp_bfly11(233)=240549+j-68237, bfly11(233)=940+j-267
bfly11_tmp(234)=-416+j-469, temp_bfly11(234)=-160185+j-9593, bfly11(234)=-626+j-37
bfly11_tmp(235)=-1357+j131, temp_bfly11(235)=-221906+j269328, bfly11(235)=-867+j1052
bfly11_tmp(236)=-883+j-79, temp_bfly11(236)=-174122+j145524, bfly11(236)=-680+j568
bfly11_tmp(237)=-823+j-330, temp_bfly11(237)=-208693+j89233, bfly11(237)=-815+j349
bfly11_tmp(238)=-118+j477, temp_bfly11(238)=64979+j107695, bfly11(238)=254+j421
bfly11_tmp(239)=-40+j-1161, temp_bfly11(239)=-217381+j-202901, bfly11(239)=-849+j-793
bfly11_tmp(240)=54+j-736, temp_bfly11(240)=-123442+j-142990, bfly11(240)=-482+j-559
bfly11_tmp(241)=-696+j506, temp_bfly11(241)=-178176+j129536, bfly11(241)=-696+j506
bfly11_tmp(242)=250+j-545, temp_bfly11(242)=64000+j-139520, bfly11(242)=250+j-545
bfly11_tmp(243)=-185+j789, temp_bfly11(243)=-47360+j201984, bfly11(243)=-185+j789
bfly11_tmp(244)=989+j929, temp_bfly11(244)=253184+j237824, bfly11(244)=989+j929
bfly11_tmp(245)=-873+j367, temp_bfly11(245)=-223488+j93952, bfly11(245)=-873+j367
bfly11_tmp(246)=206+j-1623, temp_bfly11(246)=52736+j-415488, bfly11(246)=206+j-1623
bfly11_tmp(247)=460+j377, temp_bfly11(247)=117760+j96512, bfly11(247)=460+j377
bfly11_tmp(248)=651+j477, temp_bfly11(248)=166656+j122112, bfly11(248)=651+j477
bfly11_tmp(249)=-475+j-1000, temp_bfly11(249)=-95025+j266975, bfly11(249)=-371+j1043
bfly11_tmp(250)=-820+j-847, temp_bfly11(250)=-4887+j301727, bfly11(250)=-19+j1179
bfly11_tmp(251)=299+j113, temp_bfly11(251)=-33666+j-74572, bfly11(251)=-132+j-291
bfly11_tmp(252)=823+j-1387, temp_bfly11(252)=-400010+j102084, bfly11(252)=-1563+j399
bfly11_tmp(253)=469+j1196, temp_bfly11(253)=131587+j-301365, bfly11(253)=514+j-1177
bfly11_tmp(254)=1338+j-879, temp_bfly11(254)=-401277+j-83079, bfly11(254)=-1567+j-325
bfly11_tmp(255)=-202+j151, temp_bfly11(255)=63893+j9231, bfly11(255)=250+j36
bfly11_tmp(256)=130+j-156, temp_bfly11(256)=-51766+j4706, bfly11(256)=-202+j18
bfly11_tmp(257)=-874+j128, temp_bfly11(257)=-223744+j32768, bfly11(257)=-874+j128
bfly11_tmp(258)=1035+j337, temp_bfly11(258)=264960+j86272, bfly11(258)=1035+j337
bfly11_tmp(259)=-1584+j-10, temp_bfly11(259)=-405504+j-2560, bfly11(259)=-1584+j-10
bfly11_tmp(260)=517+j301, temp_bfly11(260)=132352+j77056, bfly11(260)=517+j301
bfly11_tmp(261)=68+j498, temp_bfly11(261)=17408+j127488, bfly11(261)=68+j498
bfly11_tmp(262)=237+j425, temp_bfly11(262)=60672+j108800, bfly11(262)=237+j425
bfly11_tmp(263)=441+j-740, temp_bfly11(263)=112896+j-189440, bfly11(263)=441+j-740
bfly11_tmp(264)=-226+j336, temp_bfly11(264)=-57856+j86016, bfly11(264)=-226+j336
bfly11_tmp(265)=654+j219, temp_bfly11(265)=167424+j56064, bfly11(265)=654+j219
bfly11_tmp(266)=790+j766, temp_bfly11(266)=202240+j196096, bfly11(266)=790+j766
bfly11_tmp(267)=416+j575, temp_bfly11(267)=106496+j147200, bfly11(267)=416+j575
bfly11_tmp(268)=985+j697, temp_bfly11(268)=252160+j178432, bfly11(268)=985+j697
bfly11_tmp(269)=-818+j-689, temp_bfly11(269)=-209408+j-176384, bfly11(269)=-818+j-689
bfly11_tmp(270)=118+j205, temp_bfly11(270)=30208+j52480, bfly11(270)=118+j205
bfly11_tmp(271)=564+j-18, temp_bfly11(271)=144384+j-4608, bfly11(271)=564+j-18
