bfly01_tmp(1)=122+j85, temp_bfly01(1)=31232+j21760, bfly01(1)=122+j85
bfly01_tmp(139)=22+j-31, temp_bfly01(139)=5632+j-7936, bfly01(139)=22+j-31
bfly01_tmp(140)=60+j-52, temp_bfly01(140)=15360+j-13312, bfly01(140)=60+j-52
bfly01_tmp(141)=-6+j22, temp_bfly01(141)=-1536+j5632, bfly01(141)=-6+j22
bfly01_tmp(142)=-24+j4, temp_bfly01(142)=-6144+j1024, bfly01(142)=-24+j4
bfly01_tmp(143)=47+j4, temp_bfly01(143)=12032+j1024, bfly01(143)=47+j4
bfly01_tmp(144)=2+j-13, temp_bfly01(144)=512+j-3328, bfly01(144)=2+j-13
bfly01_tmp(145)=-36+j-19, temp_bfly01(145)=-9216+j-4864, bfly01(145)=-36+j-19
bfly01_tmp(146)=-10+j-8, temp_bfly01(146)=-2560+j-2048, bfly01(146)=-10+j-8
bfly01_tmp(147)=-2+j-4, temp_bfly01(147)=-512+j-1024, bfly01(147)=-2+j-4
bfly01_tmp(148)=25+j11, temp_bfly01(148)=6400+j2816, bfly01(148)=25+j11
bfly01_tmp(149)=-20+j8, temp_bfly01(149)=-5120+j2048, bfly01(149)=-20+j8
bfly01_tmp(150)=-31+j-23, temp_bfly01(150)=-7936+j-5888, bfly01(150)=-31+j-23
bfly01_tmp(151)=34+j6, temp_bfly01(151)=8704+j1536, bfly01(151)=34+j6
bfly01_tmp(152)=13+j54, temp_bfly01(152)=3328+j13824, bfly01(152)=13+j54
bfly01_tmp(153)=-17+j13, temp_bfly01(153)=-4352+j3328, bfly01(153)=-17+j13
bfly01_tmp(154)=16+j29, temp_bfly01(154)=4096+j7424, bfly01(154)=16+j29
bfly01_tmp(155)=55+j13, temp_bfly01(155)=14080+j3328, bfly01(155)=55+j13
bfly01_tmp(156)=30+j10, temp_bfly01(156)=7680+j2560, bfly01(156)=30+j10
bfly01_tmp(157)=23+j55, temp_bfly01(157)=5888+j14080, bfly01(157)=23+j55
bfly01_tmp(158)=30+j11, temp_bfly01(158)=7680+j2816, bfly01(158)=30+j11
bfly01_tmp(159)=11+j28, temp_bfly01(159)=2816+j7168, bfly01(159)=11+j28
bfly01_tmp(160)=5+j62, temp_bfly01(160)=1280+j15872, bfly01(160)=5+j62
bfly01_tmp(161)=40+j12, temp_bfly01(161)=10240+j3072, bfly01(161)=40+j12
bfly01_tmp(162)=10+j-52, temp_bfly01(162)=2560+j-13312, bfly01(162)=10+j-52
bfly01_tmp(163)=-7+j15, temp_bfly01(163)=-1792+j3840, bfly01(163)=-7+j15
bfly01_tmp(164)=-17+j3, temp_bfly01(164)=-4352+j768, bfly01(164)=-17+j3
bfly01_tmp(165)=14+j4, temp_bfly01(165)=3584+j1024, bfly01(165)=14+j4
bfly01_tmp(166)=31+j-39, temp_bfly01(166)=7936+j-9984, bfly01(166)=31+j-39
bfly01_tmp(167)=4+j38, temp_bfly01(167)=1024+j9728, bfly01(167)=4+j38
bfly01_tmp(168)=-22+j5, temp_bfly01(168)=-5632+j1280, bfly01(168)=-22+j5
bfly01_tmp(169)=16+j-49, temp_bfly01(169)=4096+j-12544, bfly01(169)=16+j-49
bfly01_tmp(170)=-41+j-21, temp_bfly01(170)=-10496+j-5376, bfly01(170)=-41+j-21
bfly01_tmp(171)=-31+j-19, temp_bfly01(171)=-7936+j-4864, bfly01(171)=-31+j-19
bfly01_tmp(172)=-18+j7, temp_bfly01(172)=-4608+j1792, bfly01(172)=-18+j7
bfly01_tmp(173)=-11+j-34, temp_bfly01(173)=-2816+j-8704, bfly01(173)=-11+j-34
bfly01_tmp(174)=38+j-27, temp_bfly01(174)=9728+j-6912, bfly01(174)=38+j-27
bfly01_tmp(175)=18+j-28, temp_bfly01(175)=4608+j-7168, bfly01(175)=18+j-28
bfly01_tmp(176)=25+j-23, temp_bfly01(176)=6400+j-5888, bfly01(176)=25+j-23
bfly01_tmp(177)=-9+j3, temp_bfly01(177)=-2304+j768, bfly01(177)=-9+j3
bfly01_tmp(178)=26+j22, temp_bfly01(178)=6656+j5632, bfly01(178)=26+j22
bfly01_tmp(179)=-27+j24, temp_bfly01(179)=-6912+j6144, bfly01(179)=-27+j24
bfly01_tmp(180)=-2+j24, temp_bfly01(180)=-512+j6144, bfly01(180)=-2+j24
bfly01_tmp(181)=-23+j-10, temp_bfly01(181)=-5888+j-2560, bfly01(181)=-23+j-10
bfly01_tmp(182)=5+j-31, temp_bfly01(182)=1280+j-7936, bfly01(182)=5+j-31
bfly01_tmp(183)=5+j18, temp_bfly01(183)=1280+j4608, bfly01(183)=5+j18
bfly01_tmp(184)=15+j12, temp_bfly01(184)=3840+j3072, bfly01(184)=15+j12
bfly01_tmp(185)=-46+j-18, temp_bfly01(185)=-11776+j-4608, bfly01(185)=-46+j-18
bfly01_tmp(186)=-38+j-16, temp_bfly01(186)=-9728+j-4096, bfly01(186)=-38+j-16
bfly01_tmp(187)=42+j-32, temp_bfly01(187)=10752+j-8192, bfly01(187)=42+j-32
bfly01_tmp(188)=33+j-58, temp_bfly01(188)=8448+j-14848, bfly01(188)=33+j-58
bfly01_tmp(189)=-9+j9, temp_bfly01(189)=-2304+j2304, bfly01(189)=-9+j9
bfly01_tmp(190)=33+j-28, temp_bfly01(190)=8448+j-7168, bfly01(190)=33+j-28
bfly01_tmp(191)=-4+j31, temp_bfly01(191)=-1024+j7936, bfly01(191)=-4+j31
bfly01_tmp(192)=-1+j42, temp_bfly01(192)=-256+j10752, bfly01(192)=-1+j42
bfly01_tmp(193)=28+j-4, temp_bfly01(193)=-1024+j-7168, bfly01(193)=-4+j-28
bfly01_tmp(194)=18+j1, temp_bfly01(194)=256+j-4608, bfly01(194)=1+j-18
bfly01_tmp(195)=44+j-12, temp_bfly01(195)=-3072+j-11264, bfly01(195)=-12+j-44
bfly01_tmp(196)=35+j-41, temp_bfly01(196)=-10496+j-8960, bfly01(196)=-41+j-35
bfly01_tmp(197)=47+j40, temp_bfly01(197)=10240+j-12032, bfly01(197)=40+j-47
bfly01_tmp(198)=-11+j1, temp_bfly01(198)=256+j2816, bfly01(198)=1+j11
bfly01_tmp(199)=-9+j-9, temp_bfly01(199)=-2304+j2304, bfly01(199)=-9+j9
bfly01_tmp(200)=-24+j-41, temp_bfly01(200)=-10496+j6144, bfly01(200)=-41+j24
bfly01_tmp(201)=-2+j-25, temp_bfly01(201)=-6400+j512, bfly01(201)=-25+j2
bfly01_tmp(202)=-20+j-43, temp_bfly01(202)=-11008+j5120, bfly01(202)=-43+j20
bfly01_tmp(203)=36+j33, temp_bfly01(203)=8448+j-9216, bfly01(203)=33+j-36
bfly01_tmp(204)=4+j-6, temp_bfly01(204)=-1536+j-1024, bfly01(204)=-6+j-4
bfly01_tmp(205)=-19+j50, temp_bfly01(205)=12800+j4864, bfly01(205)=50+j19
bfly01_tmp(206)=29+j4, temp_bfly01(206)=1024+j-7424, bfly01(206)=4+j-29
bfly01_tmp(207)=-24+j5, temp_bfly01(207)=1280+j6144, bfly01(207)=5+j24
bfly01_tmp(208)=25+j-9, temp_bfly01(208)=-2304+j-6400, bfly01(208)=-9+j-25
bfly01_tmp(209)=41+j-2, temp_bfly01(209)=-512+j-10496, bfly01(209)=-2+j-41
bfly01_tmp(210)=-31+j-36, temp_bfly01(210)=-9216+j7936, bfly01(210)=-36+j31
bfly01_tmp(211)=36+j-7, temp_bfly01(211)=-1792+j-9216, bfly01(211)=-7+j-36
bfly01_tmp(212)=13+j-6, temp_bfly01(212)=-1536+j-3328, bfly01(212)=-6+j-13
bfly01_tmp(213)=1+j41, temp_bfly01(213)=10496+j-256, bfly01(213)=41+j-1
bfly01_tmp(214)=-72+j35, temp_bfly01(214)=8960+j18432, bfly01(214)=35+j72
bfly01_tmp(215)=19+j1, temp_bfly01(215)=256+j-4864, bfly01(215)=1+j-19
bfly01_tmp(216)=24+j-8, temp_bfly01(216)=-2048+j-6144, bfly01(216)=-8+j-24
bfly01_tmp(217)=-56+j28, temp_bfly01(217)=7168+j14336, bfly01(217)=28+j56
bfly01_tmp(218)=15+j-4, temp_bfly01(218)=-1024+j-3840, bfly01(218)=-4+j-15
bfly01_tmp(219)=5+j14, temp_bfly01(219)=3584+j-1280, bfly01(219)=14+j-5
bfly01_tmp(220)=22+j-23, temp_bfly01(220)=-5888+j-5632, bfly01(220)=-23+j-22
bfly01_tmp(221)=10+j-14, temp_bfly01(221)=-3584+j-2560, bfly01(221)=-14+j-10
bfly01_tmp(222)=-27+j-23, temp_bfly01(222)=-5888+j6912, bfly01(222)=-23+j27
bfly01_tmp(223)=27+j36, temp_bfly01(223)=9216+j-6912, bfly01(223)=36+j-27
bfly01_tmp(224)=-26+j1, temp_bfly01(224)=256+j6656, bfly01(224)=1+j26
bfly01_tmp(225)=17+j41, temp_bfly01(225)=10496+j-4352, bfly01(225)=41+j-17
bfly01_tmp(226)=10+j27, temp_bfly01(226)=6912+j-2560, bfly01(226)=27+j-10
bfly01_tmp(227)=37+j-19, temp_bfly01(227)=-4864+j-9472, bfly01(227)=-19+j-37
bfly01_tmp(228)=17+j-51, temp_bfly01(228)=-13056+j-4352, bfly01(228)=-51+j-17
bfly01_tmp(229)=-10+j-12, temp_bfly01(229)=-3072+j2560, bfly01(229)=-12+j10
bfly01_tmp(230)=-26+j-7, temp_bfly01(230)=-1792+j6656, bfly01(230)=-7+j26
bfly01_tmp(231)=-53+j-4, temp_bfly01(231)=-1024+j13568, bfly01(231)=-4+j53
bfly01_tmp(232)=-20+j-20, temp_bfly01(232)=-5120+j5120, bfly01(232)=-20+j20
bfly01_tmp(233)=4+j33, temp_bfly01(233)=8448+j-1024, bfly01(233)=33+j-4
bfly01_tmp(234)=14+j-11, temp_bfly01(234)=-2816+j-3584, bfly01(234)=-11+j-14
bfly01_tmp(235)=26+j30, temp_bfly01(235)=7680+j-6656, bfly01(235)=30+j-26
bfly01_tmp(236)=-18+j-4, temp_bfly01(236)=-1024+j4608, bfly01(236)=-4+j18
bfly01_tmp(237)=44+j-21, temp_bfly01(237)=-5376+j-11264, bfly01(237)=-21+j-44
bfly01_tmp(238)=-28+j-38, temp_bfly01(238)=-9728+j7168, bfly01(238)=-38+j28
bfly01_tmp(239)=7+j33, temp_bfly01(239)=8448+j-1792, bfly01(239)=33+j-7
bfly01_tmp(240)=-27+j13, temp_bfly01(240)=3328+j6912, bfly01(240)=13+j27
bfly01_tmp(241)=14+j-3, temp_bfly01(241)=-768+j-3584, bfly01(241)=-3+j-14
bfly01_tmp(242)=-5+j36, temp_bfly01(242)=9216+j1280, bfly01(242)=36+j5
bfly01_tmp(243)=6+j-1, temp_bfly01(243)=-256+j-1536, bfly01(243)=-1+j-6
bfly01_tmp(244)=18+j-1, temp_bfly01(244)=-256+j-4608, bfly01(244)=-1+j-18
bfly01_tmp(245)=-4+j1, temp_bfly01(245)=256+j1024, bfly01(245)=1+j4
bfly01_tmp(246)=-51+j-8, temp_bfly01(246)=-2048+j13056, bfly01(246)=-8+j51
bfly01_tmp(247)=30+j-21, temp_bfly01(247)=-5376+j-7680, bfly01(247)=-21+j-30
bfly01_tmp(248)=3+j-52, temp_bfly01(248)=-13312+j-768, bfly01(248)=-52+j-3
bfly01_tmp(249)=-14+j12, temp_bfly01(249)=3072+j3584, bfly01(249)=12+j14
bfly01_tmp(250)=-9+j41, temp_bfly01(250)=10496+j2304, bfly01(250)=41+j9
bfly01_tmp(251)=3+j-9, temp_bfly01(251)=-2304+j-768, bfly01(251)=-9+j-3
bfly01_tmp(252)=-42+j23, temp_bfly01(252)=5888+j10752, bfly01(252)=23+j42
bfly01_tmp(253)=39+j-42, temp_bfly01(253)=-10752+j-9984, bfly01(253)=-42+j-39
bfly01_tmp(254)=-26+j-11, temp_bfly01(254)=-2816+j6656, bfly01(254)=-11+j26
bfly01_tmp(255)=-5+j15, temp_bfly01(255)=3840+j1280, bfly01(255)=15+j5
bfly01_tmp(256)=-29+j20, temp_bfly01(256)=5120+j7424, bfly01(256)=20+j29
bfly01_tmp(257)=-20+j5, temp_bfly01(257)=-5120+j1280, bfly01(257)=-20+j5
bfly01_tmp(258)=10+j-13, temp_bfly01(258)=2560+j-3328, bfly01(258)=10+j-13
bfly01_tmp(259)=-3+j-7, temp_bfly01(259)=-768+j-1792, bfly01(259)=-3+j-7
bfly01_tmp(260)=45+j19, temp_bfly01(260)=11520+j4864, bfly01(260)=45+j19
bfly01_tmp(261)=-47+j-4, temp_bfly01(261)=-12032+j-1024, bfly01(261)=-47+j-4
bfly01_tmp(262)=6+j39, temp_bfly01(262)=1536+j9984, bfly01(262)=6+j39
bfly01_tmp(263)=46+j-5, temp_bfly01(263)=11776+j-1280, bfly01(263)=46+j-5
bfly01_tmp(264)=-31+j37, temp_bfly01(264)=-7936+j9472, bfly01(264)=-31+j37
bfly01_tmp(265)=77+j14, temp_bfly01(265)=19712+j3584, bfly01(265)=77+j14
bfly01_tmp(266)=20+j17, temp_bfly01(266)=5120+j4352, bfly01(266)=20+j17
bfly01_tmp(267)=15+j28, temp_bfly01(267)=3840+j7168, bfly01(267)=15+j28
bfly01_tmp(268)=-5+j3, temp_bfly01(268)=-1280+j768, bfly01(268)=-5+j3
bfly01_tmp(269)=2+j-48, temp_bfly01(269)=512+j-12288, bfly01(269)=2+j-48
bfly01_tmp(270)=-5+j43, temp_bfly01(270)=-1280+j11008, bfly01(270)=-5+j43
bfly01_tmp(271)=1+j20, temp_bfly01(271)=256+j5120, bfly01(271)=1+j20
bfly01_tmp(272)=-5+j-42, temp_bfly01(272)=-1280+j-10752, bfly01(272)=-5+j-42
bfly01_tmp(273)=31+j-2, temp_bfly01(273)=7936+j-512, bfly01(273)=31+j-2
bfly01_tmp(274)=-11+j61, temp_bfly01(274)=-2816+j15616, bfly01(274)=-11+j61
bfly01_tmp(275)=-37+j-5, temp_bfly01(275)=-9472+j-1280, bfly01(275)=-37+j-5
bfly01_tmp(276)=-52+j-44, temp_bfly01(276)=-13312+j-11264, bfly01(276)=-52+j-44
bfly01_tmp(277)=51+j31, temp_bfly01(277)=13056+j7936, bfly01(277)=51+j31
bfly01_tmp(278)=-38+j-8, temp_bfly01(278)=-9728+j-2048, bfly01(278)=-38+j-8
bfly01_tmp(279)=16+j2, temp_bfly01(279)=4096+j512, bfly01(279)=16+j2
bfly01_tmp(280)=26+j-7, temp_bfly01(280)=6656+j-1792, bfly01(280)=26+j-7
bfly01_tmp(281)=5+j-17, temp_bfly01(281)=1280+j-4352, bfly01(281)=5+j-17
